nome,grupo_muscular,ambiente,equipamento,nivel,observacao_tecnica
agachamento livre,pernas,casa,peso corporal,iniciante,Manter tronco controlado e amplitude confortável.
flexão inclinada,peito e tríceps,casa,apoio elevado,iniciante,"Usar parede, mesa firme ou banco estável."
ponte de glúteos,glúteos e posterior,casa,peso corporal,iniciante,Subir o quadril sem arquear excessivamente a lombar.
prancha curta,core,casa,peso corporal,iniciante,Usar séries curtas com boa postura.
mobilidade de quadril,mobilidade,casa,nenhum,iniciante,Executar devagar e sem dor.
mobilidade de ombros,mobilidade,casa,nenhum,iniciante,Evitar forçar amplitude.
remada com mochila,costas,casa,mochila,intermediario,Usar carga leve e controlar o movimento.
avanço curto,pernas,casa,peso corporal,intermediario,Manter equilíbrio e controle do joelho.
leg press leve,pernas,academia,máquina,iniciante,Usar carga confortável e movimento controlado.
remada baixa,costas,academia,máquina,iniciante,Evitar puxar com impulso do tronco.
supino máquina,peito e tríceps,academia,máquina,iniciante,Controlar descida e subida sem travar ombros.
puxada frontal,costas,academia,máquina,iniciante,"Puxar com controle, sem jogar o corpo para trás."
caminhada leve,cardiorrespiratório,ambos,nenhum,iniciante,Usar como aquecimento ou atividade complementar.
desenvolvimento com halteres leves,ombros,academia,halteres,intermediario,Priorizar controle e amplitude confortável.
levantamento terra romeno leve,posterior e glúteos,academia,barra ou halteres,intermediario,Manter coluna neutra e carga moderada.
